what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1344946754227
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1344946754607
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344946758572
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344946850513
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344946853545
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344947105983
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1344947168270
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1344947169264
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1344947179238
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1344947179899
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1344947180229
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1344947181794
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1344947202834
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1344947203334
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1344947203874
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344947227166
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344947280591
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344947290136
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344947337075
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344947337925
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344948229961
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344948234672
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344948277321
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344948291781
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344948293371
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1344948311095
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1344948332129
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1344948344440
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1344948344915
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1344948345890
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1344948366226
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1344948367376
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344948372706
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1344948374386
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344948374836
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1344948378466
